"TAX","Tax","GOV","Government","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1000","1000 Taxes on income, profits and capital gains","SUPRA","Supranational","2018","2018","GBP","Pound Sterling","0","Units",,,0,,
"1000","1000 Taxes on income, profits and capital gains","SUPRA","Supranational","2019","2019","GBP","Pound Sterling","0","Units",,,0,,
"1000","1000 Taxes on income, profits and capital gains","SUPRA","Supranational","2020","2020","GBP","Pound Sterling","0","Units",,,0,,
"1000","1000 Taxes on income, profits and capital gains","SUPRA","Supranational","2021","2021","GBP","Pound Sterling","0","Units",,,0,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1973","1973","GBP","Pound Sterling","0","Units",,,217,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1974","1974","GBP","Pound Sterling","0","Units",,,214,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1975","1975","GBP","Pound Sterling","0","Units",,,360,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1976","1976","GBP","Pound Sterling","0","Units",,,488,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1977","1977","GBP","Pound Sterling","0","Units",,,780,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1978","1978","GBP","Pound Sterling","0","Units",,,970,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1979","1979","GBP","Pound Sterling","0","Units",,,1127,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1980","1980","GBP","Pound Sterling","0","Units",,,1142,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1981","1981","GBP","Pound Sterling","0","Units",,,1173,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1982","1982","GBP","Pound Sterling","0","Units",,,1302,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1983","1983","GBP","Pound Sterling","0","Units",,,1361,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1984","1984","GBP","Pound Sterling","0","Units",,,1501,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1985","1985","GBP","Pound Sterling","0","Units",,,1482,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1986","1986","GBP","Pound Sterling","0","Units",,,1585,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1987","1987","GBP","Pound Sterling","0","Units",,,1755,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1988","1988","GBP","Pound Sterling","0","Units",,,1885,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1989","1989","GBP","Pound Sterling","0","Units",,,2000,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1990","1990","GBP","Pound Sterling","0","Units",,,1848,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1991","1991","GBP","Pound Sterling","0","Units",,,1916,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1992","1992","GBP","Pound Sterling","0","Units",,,1950,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1993","1993","GBP","Pound Sterling","0","Units",,,2173,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1994","1994","GBP","Pound Sterling","0","Units",,,2134,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1995","1995","GBP","Pound Sterling","0","Units",,,2513,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1996","1996","GBP","Pound Sterling","0","Units",,,2318,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1997","1997","GBP","Pound Sterling","0","Units",,,2382,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1998","1998","GBP","Pound Sterling","0","Units",,,2118,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","1999","1999","GBP","Pound Sterling","0","Units",,,2070,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2000","2000","GBP","Pound Sterling","0","Units",,,2130,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2001","2001","GBP","Pound Sterling","0","Units",,,2100,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2002","2002","GBP","Pound Sterling","0","Units",,,1944,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2003","2003","GBP","Pound Sterling","0","Units",,,1955,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2004","2004","GBP","Pound Sterling","0","Units",,,2170,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2005","2005","GBP","Pound Sterling","0","Units",,,2268,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2006","2006","GBP","Pound Sterling","0","Units",,,2405,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2007","2007","GBP","Pound Sterling","0","Units",,,2415,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2008","2008","GBP","Pound Sterling","0","Units",,,2689,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2009","2009","GBP","Pound Sterling","0","Units",,,2655,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2010","2010","GBP","Pound Sterling","0","Units",,,2945,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2011","2011","GBP","Pound Sterling","0","Units",,,2937,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2012","2012","GBP","Pound Sterling","0","Units",,,2898,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2013","2013","GBP","Pound Sterling","0","Units",,,2926,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2014","2014","GBP","Pound Sterling","0","Units",,,2960,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2015","2015","GBP","Pound Sterling","0","Units",,,3087,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2016","2016","GBP","Pound Sterling","0","Units",,,3327,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2017","2017","GBP","Pound Sterling","0","Units",,,3427,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2018","2018","GBP","Pound Sterling","0","Units",,,3335,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2019","2019","GBP","Pound Sterling","0","Units",,,3343,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2020","2020","GBP","Pound Sterling","0","Units",,,2896,,
"5000","5000 Taxes on goods and services","SUPRA","Supranational","2021","2021","GBP","Pound Sterling","0","Units",,,0,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1973","1973","GBP","Pound Sterling","0","Units",,,217,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1974","1974","GBP","Pound Sterling","0","Units",,,214,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1975","1975","GBP","Pound Sterling","0","Units",,,360,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1976","1976","GBP","Pound Sterling","0","Units",,,488,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1977","1977","GBP","Pound Sterling","0","Units",,,780,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1978","1978","GBP","Pound Sterling","0","Units",,,970,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1979","1979","GBP","Pound Sterling","0","Units",,,1127,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1980","1980","GBP","Pound Sterling","0","Units",,,1142,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1981","1981","GBP","Pound Sterling","0","Units",,,1173,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1982","1982","GBP","Pound Sterling","0","Units",,,1302,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1983","1983","GBP","Pound Sterling","0","Units",,,1361,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1984","1984","GBP","Pound Sterling","0","Units",,,1501,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1985","1985","GBP","Pound Sterling","0","Units",,,1482,,
